# Frame Logs
frame,download_ms,decrypt_ms,buffer_count,timestamp_ms,rep,bitrate_bps,size_bytes
0,1.98,3.83,1,28880836.892,0,132559680,690415
1,1.99,3.96,2,28880840.935,0,132559680,690415
2,1.55,3.78,3,28880844.809,0,132559680,690415
3,1.92,3.75,4,28880848.638,0,132559680,690415
4,1.45,3.39,5,28880852.039,0,132559680,690415
5,1.65,3.32,6,28880855.364,0,132559680,690415
6,1.16,3.35,7,28880858.721,0,132559680,690415
7,1.34,3.43,8,28880862.157,0,132559680,690415
8,1.49,3.33,9,28880865.497,0,132559680,690415
9,1.76,3.32,10,28880868.825,0,132559680,690415
10,1.31,3.29,11,28880872.125,0,132559680,690415
11,1.61,3.34,12,28880875.467,0,132559680,690415
12,1.93,3.33,13,28880878.807,0,132559680,690415
13,1.55,3.32,14,28880882.136,0,132559680,690415
14,1.65,3.31,15,28880885.453,0,132559680,690415
15,1.29,3.31,16,28880888.766,0,132559680,690415
16,1.51,3.31,17,28880892.081,0,132559680,690415
17,1.36,3.31,18,28880895.401,0,132559680,690415
18,1.63,3.31,19,28880898.718,0,132559680,690415
19,1.79,3.32,20,28880902.043,0,132559680,690415
20,1.61,3.29,21,28880905.340,0,132559680,690415
21,1.61,3.32,22,28880908.664,0,132559680,690415
22,1.47,3.50,23,28880912.177,0,132559680,690415
23,1.66,3.40,24,28880915.583,0,132559680,690415
24,1.69,3.34,24,28880918.929,0,132559680,690415
25,1.46,3.33,24,28880958.651,0,132559680,690415
26,1.22,3.67,24,28880999.659,0,132559680,690415
27,1.48,5.37,24,28881041.472,0,132559680,690415
28,2.30,4.04,24,28881083.480,0,132559680,690415
29,2.37,4.52,24,28881125.298,0,132559680,690415
30,2.63,3.99,24,28881166.950,0,132559680,690415
31,2.57,3.40,24,28881208.253,0,132559680,690415
32,2.27,4.68,24,28881249.361,0,132559680,690415
33,2.09,4.74,24,28881291.611,0,132559680,690415
34,1.92,5.16,24,28881333.489,0,132559680,690415
35,1.98,5.43,24,28881375.029,0,132559680,690415
36,2.30,5.21,24,28881416.504,0,132559680,690415
37,2.12,3.50,24,28881458.500,0,132559680,690415
38,2.77,3.43,24,28881499.827,0,132559680,690415
39,1.54,4.00,24,28881541.444,0,132559680,690415
40,2.51,4.26,24,28881583.043,0,132559680,690415
41,2.37,4.59,24,28881624.355,0,132559680,690415
42,1.76,4.29,24,28881666.914,0,132559680,690415
43,2.24,3.45,24,28881707.699,0,132559680,690415
44,1.93,3.50,24,28881749.785,0,132559680,690415
45,1.39,3.90,24,28881791.126,0,132559680,690415
46,1.44,4.27,24,28881833.197,0,132559680,690415
47,1.95,4.22,24,28881875.079,0,132559680,690415
48,12.06,6.11,24,28881916.587,1,264947520,1379935
49,3.77,4.79,24,28881957.995,1,264947520,1379935
50,1.83,5.35,24,28882000.289,1,264947520,1379935
51,3.06,5.18,24,28882041.903,1,264947520,1379935
52,4.01,5.74,24,28882083.731,1,264947520,1379935
53,2.78,5.83,24,28882125.025,1,264947520,1379935
54,1.73,5.63,24,28882166.369,1,264947520,1379935
55,2.41,5.18,24,28882208.206,1,264947520,1379935
56,2.09,5.62,24,28882250.210,1,264947520,1379935
57,2.02,5.04,24,28882291.195,1,264947520,1379935
58,2.33,6.64,24,28882332.737,1,264947520,1379935
59,2.40,5.64,24,28882374.895,1,264947520,1379935
60,2.23,5.03,24,28882416.280,1,264947520,1379935
61,2.61,5.54,24,28882458.260,1,264947520,1379935
62,2.37,5.25,24,28882499.523,1,264947520,1379935
63,3.27,6.44,24,28882541.771,1,264947520,1379935
64,2.78,6.67,24,28882583.280,1,264947520,1379935
65,2.41,6.20,24,28882624.785,1,264947520,1379935
66,2.95,6.46,24,28882666.759,1,264947520,1379935
67,2.25,5.55,24,28882708.634,1,264947520,1379935
68,3.68,5.06,24,28882751.366,1,264947520,1379935
69,1.90,6.04,24,28882791.322,1,264947520,1379935
70,2.71,5.70,24,28882832.831,1,264947520,1379935
71,2.43,5.04,24,28882875.238,1,264947520,1379935
72,7.73,9.98,24,28882916.493,2,529723200,2758975
73,4.70,7.41,24,28882957.877,2,529723200,2758975
74,4.54,9.18,24,28882999.583,2,529723200,2758975
75,4.17,9.62,24,28883042.006,2,529723200,2758975
76,3.77,8.71,24,28883082.986,2,529723200,2758975
77,4.42,8.51,24,28883124.583,2,529723200,2758975
78,3.64,8.81,24,28883166.563,2,529723200,2758975
79,3.87,8.88,24,28883207.702,2,529723200,2758975
80,4.45,9.33,24,28883249.667,2,529723200,2758975
81,3.90,8.46,24,28883291.873,2,529723200,2758975
82,2.95,8.63,24,28883333.588,2,529723200,2758975
83,3.80,8.87,24,28883374.682,2,529723200,2758975
84,4.35,9.08,24,28883416.841,2,529723200,2758975
85,2.91,8.64,24,28883457.714,2,529723200,2758975
86,3.90,9.61,24,28883500.074,2,529723200,2758975
87,3.33,9.24,24,28883541.037,2,529723200,2758975
88,3.21,9.35,24,28883583.726,2,529723200,2758975
89,5.12,8.40,24,28883625.572,2,529723200,2758975
90,4.09,8.93,24,28883666.543,2,529723200,2758975
91,2.72,8.60,24,28883708.379,2,529723200,2758975
92,3.33,9.29,24,28883749.839,2,529723200,2758975
93,3.35,8.92,24,28883791.469,2,529723200,2758975
94,4.14,8.83,24,28883833.437,2,529723200,2758975
95,3.71,8.49,24,28883875.163,2,529723200,2758975
96,21.15,18.64,24,28883916.326,3,1059274752,5517056
97,8.39,13.16,24,28883958.354,3,1059274752,5517056
98,6.64,15.03,24,28883999.989,3,1059274752,5517056
99,9.68,15.75,24,28884041.617,3,1059274752,5517056
100,8.62,15.33,24,28884083.617,3,1059274752,5517056
101,5.03,15.18,24,28884124.486,3,1059274752,5517056
102,6.15,14.89,24,28884166.137,3,1059274752,5517056
103,4.63,15.17,24,28884208.285,3,1059274752,5517056
104,5.74,18.22,24,28884249.763,3,1059274752,5517056
105,6.10,18.62,24,28884291.840,3,1059274752,5517056
106,4.77,16.04,24,28884333.672,3,1059274752,5517056
107,5.68,15.49,24,28884374.911,3,1059274752,5517056
108,5.28,16.07,24,28884416.789,3,1059274752,5517056
109,5.20,16.50,24,28884458.104,3,1059274752,5517056
110,5.58,16.61,24,28884499.797,3,1059274752,5517056
111,4.77,15.95,24,28884541.624,3,1059274752,5517056
112,4.82,16.53,24,28884583.041,3,1059274752,5517056
113,5.75,15.12,24,28884625.540,3,1059274752,5517056
114,4.72,14.75,24,28884666.028,3,1059274752,5517056
115,5.06,15.27,24,28884708.280,3,1059274752,5517056
116,7.24,15.50,24,28884749.883,3,1059274752,5517056
117,4.35,15.01,24,28884791.870,3,1059274752,5517056
118,5.52,15.52,24,28884833.402,3,1059274752,5517056
119,5.47,15.54,24,28884874.675,3,1059274752,5517056
120,4.26,15.70,24,28884916.197,3,1059274752,5517056
121,5.37,17.87,24,28884958.662,3,1059274752,5517056
122,6.06,15.21,24,28885000.285,3,1059274752,5517056
123,5.02,16.34,24,28885041.087,3,1059274752,5517056
124,5.56,16.32,24,28885083.206,3,1059274752,5517056
125,5.14,15.14,24,28885125.244,3,1059274752,5517056
126,4.58,15.38,24,28885166.508,3,1059274752,5517056
127,5.06,16.23,24,28885208.711,3,1059274752,5517056
128,4.76,15.38,24,28885250.048,3,1059274752,5517056
129,5.51,17.62,24,28885291.012,3,1059274752,5517056
130,5.07,15.32,24,28885333.147,3,1059274752,5517056
131,6.15,15.98,24,28885374.758,3,1059274752,5517056
132,5.30,14.83,24,28885416.436,3,1059274752,5517056
133,4.27,16.69,24,28885458.585,3,1059274752,5517056
134,4.04,18.45,24,28885500.295,3,1059274752,5517056
135,5.27,17.69,24,28885541.270,3,1059274752,5517056
136,5.33,15.55,24,28885583.455,3,1059274752,5517056
137,4.92,15.23,24,28885624.828,3,1059274752,5517056
138,5.17,16.55,24,28885665.992,3,1059274752,5517056
139,5.17,16.44,24,28885707.943,3,1059274752,5517056
140,6.30,15.74,24,28885750.237,3,1059274752,5517056
141,4.47,17.17,24,28885791.903,3,1059274752,5517056
142,4.71,15.71,24,28885833.249,3,1059274752,5517056
143,5.35,15.08,24,28885874.559,3,1059274752,5517056
144,4.39,15.09,24,28885916.449,3,1059274752,5517056
145,4.31,17.34,24,28885958.279,3,1059274752,5517056
146,6.75,15.84,24,28886000.156,3,1059274752,5517056
147,4.65,16.70,24,28886041.356,3,1059274752,5517056
148,5.46,15.05,24,28886083.083,3,1059274752,5517056
149,6.10,14.98,24,28886125.294,3,1059274752,5517056
150,5.61,15.21,24,28886166.204,3,1059274752,5517056
151,5.38,16.12,24,28886207.957,3,1059274752,5517056
152,6.74,15.70,24,28886250.294,3,1059274752,5517056
153,5.84,17.63,24,28886291.375,3,1059274752,5517056
154,4.33,15.22,24,28886333.208,3,1059274752,5517056
155,6.31,15.19,24,28886374.463,3,1059274752,5517056
156,4.86,15.05,24,28886416.169,3,1059274752,5517056
157,4.60,16.85,24,28886458.787,3,1059274752,5517056
158,4.78,15.48,24,28886500.154,3,1059274752,5517056
159,5.11,15.04,24,28886541.829,3,1059274752,5517056
160,5.10,15.13,24,28886583.022,3,1059274752,5517056
161,5.14,15.31,24,28886625.076,3,1059274752,5517056
162,4.97,16.10,24,28886666.275,3,1059274752,5517056
163,5.63,15.41,24,28886707.749,3,1059274752,5517056
164,5.52,16.10,24,28886749.762,3,1059274752,5517056
165,4.93,15.29,24,28886791.890,3,1059274752,5517056
166,5.41,14.83,24,28886833.570,3,1059274752,5517056
167,6.31,15.71,24,28886875.019,3,1059274752,5517056
168,4.66,15.34,24,28886916.539,3,1059274752,5517056
169,4.63,15.89,24,28886958.509,3,1059274752,5517056
170,5.41,15.62,24,28887000.314,3,1059274752,5517056
171,5.77,15.69,24,28887041.996,3,1059274752,5517056
172,5.88,14.76,24,28887083.447,3,1059274752,5517056
173,4.51,14.82,24,28887125.203,3,1059274752,5517056
174,6.42,15.96,24,28887167.041,3,1059274752,5517056
175,6.22,16.64,24,28887208.762,3,1059274752,5517056
176,5.04,16.90,24,28887250.204,3,1059274752,5517056
177,5.99,15.45,24,28887291.606,3,1059274752,5517056
178,5.90,15.51,24,28887332.911,3,1059274752,5517056
179,5.11,15.13,24,28887374.374,3,1059274752,5517056
180,6.26,16.68,24,28887416.147,3,1059274752,5517056
181,5.40,16.45,24,28887458.656,3,1059274752,5517056
182,5.29,17.40,24,28887499.585,3,1059274752,5517056
183,6.23,14.92,24,28887541.407,3,1059274752,5517056
184,6.03,15.37,24,28887583.711,3,1059274752,5517056
185,5.17,15.05,24,28887625.199,3,1059274752,5517056
186,4.98,17.70,24,28887666.611,3,1059274752,5517056
187,6.11,15.77,24,28887708.269,3,1059274752,5517056
188,6.33,15.64,24,28887749.852,3,1059274752,5517056
189,4.91,15.61,24,28887791.166,3,1059274752,5517056
190,5.46,15.65,24,28887833.562,3,1059274752,5517056
191,5.43,15.17,24,28887875.124,3,1059274752,5517056
192,5.22,15.44,24,28887916.458,3,1059274752,5517056
193,4.61,18.45,24,28887958.223,3,1059274752,5517056
194,5.42,16.34,24,28888000.309,3,1059274752,5517056
195,4.49,15.85,24,28888041.813,3,1059274752,5517056
196,6.61,15.81,24,28888083.737,3,1059274752,5517056
